Modality;ID;Start;End;Difference_Frames;Difference_MS
Left_arm;1;65;143;78;650
Left_arm;2;857;931;74;616,6666667
Left_arm;3;1641;1715;74;616,6666667
Left_arm;4;2429;2502;73;608,3333333
Left_arm;5;3215;3288;73;608,3333333
Left_arm;6;4002;4075;73;608,3333333
Left_arm;7;4788;4864;76;633,3333333
Left_arm;8;5575;5649;74;616,6666667
Left_arm;9;6361;6435;74;616,6666667
Left_arm;10;7148;7220;72;600
Left_arm;11;7933;8006;73;608,3333333
Left_arm;12;8718;8794;76;633,3333333
Left_arm;13;9519;9593;74;616,6666667
Left_arm;14;10304;10376;72;600
Left_arm;15;11092;11163;71;591,6666667
Right_arm;1;81;157;76;633,3333333
Right_arm;2;889;965;76;633,3333333
Right_arm;3;1674;1747;73;608,3333333
Right_arm;4;2475;2548;73;608,3333333
Right_arm;5;3274;3355;81;675
Right_arm;6;4072;4144;72;600
Right_arm;7;4858;4930;72;600
Right_arm;8;5644;5714;70;583,3333333
Right_arm;9;6432;6506;74;616,6666667
Right_arm;10;7229;7304;75;625
Right_arm;11;8016;8090;74;616,6666667
Right_arm;12;8814;8890;76;633,3333333
Right_arm;13;9602;9675;73;608,3333333
Right_arm;14;10387;10459;72;600
Right_arm;15;11174;11247;73;608,3333333
Left_arrow;1;66;128;62;516,6666667
Left_arrow;2;665;724;59;491,6666667
Left_arrow;3;1268;1323;55;458,3333333
Left_arrow;4;1869;1925;56;466,6666667
Left_arrow;5;2470;2527;57;475
Left_arrow;6;3069;3127;58;483,3333333
Left_arrow;7;3671;3727;56;466,6666667
Left_arrow;8;4270;4336;66;550
Left_arrow;9;4870;4933;63;525
Left_arrow;10;5473;5531;58;483,3333333
Left_arrow;11;6072;6124;52;433,3333333
Left_arrow;12;6674;6725;51;425
Left_arrow;13;7275;7327;52;433,3333333
Left_arrow;14;7877;7931;54;450
Left_arrow;15;8477;8533;56;466,6666667
Right_arrow;1;67;132;65;541,6666667
Right_arrow;2;668;728;60;500
Right_arrow;3;1268;1329;61;508,3333333
Right_arrow;4;1867;1931;64;533,3333333
Right_arrow;5;2469;2534;65;541,6666667
Right_arrow;6;3070;3138;68;566,6666667
Right_arrow;7;3670;3731;61;508,3333333
Right_arrow;8;4270;4330;60;500
Right_arrow;9;4870;4938;68;566,6666667
Right_arrow;10;5473;5533;60;500
Right_arrow;11;6074;6134;60;500
Right_arrow;12;6674;6735;61;508,3333333
Right_arrow;13;7273;7339;66;550
Right_arrow;14;7875;7941;66;550
Right_arrow;15;8477;8541;64;533,3333333
Speech;1;1893;1895;2;16,66666667
Speech;2;2492;2497;5;41,66666667
Speech;3;3095;3098;3;25
Speech;4;3694;3699;5;41,66666667
Speech;5;4296;4300;4;33,33333333
Speech;6;4897;4901;4;33,33333333
Speech;7;5495;5502;7;58,33333333
Speech;8;6096;6105;9;75
Speech;9;6698;6706;8;66,66666667
Speech;10;7299;7303;4;33,33333333
Speech;11;7899;7903;4;33,33333333
Speech;12;8501;8504;3;25
Speech;13;9101;9105;4;33,33333333
Speech;14;10304;10307;3;25
Speech;15;10905;10908;3;25
