,current_focus_point,time,speech
0,0,1710159868.0871325, 
1,1,1710159872.1343927,please look at my head camera
2,2,1710159878.1720397,please look at my face
3,3,1710159883.8939,please look at my tablet
4,4,1710159890.1615348,please look at my left elbow
5,5,1710159895.9559758,please look at my right elbow
6,6,1710159901.779924,"the part ended, please take off your glasses"
7,7,1710159908.7360215, 
8,8,1710159912.7601378,please look at my head camera
9,9,1710159918.8371868,please look at my face 
10,10,1710159924.5818627,please look at my tablet
11,11,1710159930.3095868,please look at my left elbow
12,12,1710159936.1154587,please look at my right elbow
13,13,1710159941.9544318,calibration finished! thank you very much!
14,14,1710159948.9164734,
